Params,Total Accuracy,Accuracy per label,Max val list,Max str list,Label str,Matrice
"['smooth(5)', 'ALS(10, 0.001)', 'PCA(5)', 'KNN(8)', 'Normalized', 'FingerPrint']",0.2930622009569378,"[67.0, 11.0, 4.0, 57.0, 8.0, 10.0, 33.0, 64.0]","[15.0, 71.0, 55.0, 35.0, 66.0, 74.0, 33.0, 16.0]","['Thalamus', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 72   3   4  13   0   0  16   0]
 [  5  15 101   1   1  14   5   0]
 [  1  78   5   5   0  40  11   2]
 [ 38   1   3  62   1   0   3   0]
 [  0  40   7   8   5   1   0   0]
 [  0  17  78   0   0  11   0   0]
 [ 36  15  19   2   0   0  36   0]
 [  0   2  10  10   0   0   0  39]]"
"['smooth(5)', 'ALS(10, 0.001)', 'PCA(5)', 'KNN(8)', 'Normalized', 'No Raman Region']",0.13277511961722488,"[23.0, 14.0, 7.0, 30.0, 0.0, 9.0, 11.0, 3.0]","[24.0, 31.0, 35.0, 21.0, 39.0, 32.0, 32.0, 28.0]","['GPe', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPe', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 72   3   4  13   0   0  16   0]
 [  5  15 101   1   1  14   5   0]
 [  1  78   5   5   0  40  11   2]
 [ 38   1   3  62   1   0   3   0]
 [  0  40   7   8   5   1   0   0]
 [  0  17  78   0   0  11   0   0]
 [ 36  15  19   2   0   0  36   0]
 [  0   2  10  10   0   0   0  39]]"
"['smooth(5)', 'ALS(10, 0.001)', 'PCA(5)', 'KNN(8)', 'Normalized', 'High Wavenumbers']",0.3157894736842105,"[59.0, 19.0, 13.0, 54.0, 2.0, 10.0, 29.0, 87.0]","[17.0, 54.0, 47.0, 35.0, 43.0, 38.0, 33.0, 5.0]","['Thalamus', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPe', 'Caudate', 'Caudate']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 72   3   4  13   0   0  16   0]
 [  5  15 101   1   1  14   5   0]
 [  1  78   5   5   0  40  11   2]
 [ 38   1   3  62   1   0   3   0]
 [  0  40   7   8   5   1   0   0]
 [  0  17  78   0   0  11   0   0]
 [ 36  15  19   2   0   0  36   0]
 [  0   2  10  10   0   0   0  39]]"
"['smooth(5)', 'ALS(10, 0.001)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'FingerPrint']",0.26555023923444976,"[53.0, 4.0, 11.0, 70.0, 18.0, 4.0, 14.0, 62.0]","[26.0, 56.0, 53.0, 16.0, 33.0, 44.0, 44.0, 28.0]","['Thalamus', 'GPi', 'GPe', 'Caudate', 'STN', 'GPi', 'Caudate', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[57  0  6 10  0  7 28  0]
 [ 0  6 80  5 14 28  9  0]
 [ 9 75 15  6  3 27  7  0]
 [17  4  7 76  0  0  3  1]
 [ 0 18 12  0 11 20  0  0]
 [11 22 47  0 17  4  5  0]
 [48 19 17  5  0  2 15  2]
 [ 0  0 17  4  0  0  2 38]]"
"['smooth(5)', 'ALS(10, 0.001)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'No Raman Region']",0.1590909090909091,"[35.0, 15.0, 8.0, 51.0, 0.0, 4.0, 2.0, 0.0]","[21.0, 36.0, 39.0, 21.0, 36.0, 39.0, 30.0, 26.0]","['GPi', 'GPi', 'GPe', 'Thalamus', 'WM', 'GPe', 'Caudate', 'SN']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[57  0  6 10  0  7 28  0]
 [ 0  6 80  5 14 28  9  0]
 [ 9 75 15  6  3 27  7  0]
 [17  4  7 76  0  0  3  1]
 [ 0 18 12  0 11 20  0  0]
 [11 22 47  0 17  4  5  0]
 [48 19 17  5  0  2 15  2]
 [ 0  0 17  4  0  0  2 38]]"
"['smooth(5)', 'ALS(10, 0.001)', 'PCA(5)', 'KNN(8)', 'Not Normalized', 'High Wavenumbers']",0.2703349282296651,"[56.0, 27.0, 11.0, 34.0, 0.0, 0.0, 18.0, 92.0]","[23.0, 56.0, 59.0, 35.0, 43.0, 44.0, 40.0, 5.0]","['Thalamus', 'GPi', 'GPe', 'Thalamus', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[57  0  6 10  0  7 28  0]
 [ 0  6 80  5 14 28  9  0]
 [ 9 75 15  6  3 27  7  0]
 [17  4  7 76  0  0  3  1]
 [ 0 18 12  0 11 20  0  0]
 [11 22 47  0 17  4  5  0]
 [48 19 17  5  0  2 15  2]
 [ 0  0 17  4  0  0  2 38]]"
"['smooth(5)', 'ALS(10, 0.001)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Normalized', 'FingerPrint']",0.3026315789473684,"[64.0, 8.0, 7.0, 68.0, 2.0, 9.0, 36.0, 64.0]","[18.0, 73.0, 48.0, 26.0, 56.0, 61.0, 30.0, 15.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'GPi']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 69   6   1  19   0   0  13   0]
 [  4  12 104   0   1  12   9   0]
 [  1  68  10   4   2  34  19   4]
 [ 28   1   5  73   0   0   1   0]
 [  0  34  15   8   1   0   3   0]
 [  0  31  65   0   0  10   0   0]
 [ 32  19  13   4   0   1  39   0]
 [  4   0   9   7   2   0   0  39]]"
"['smooth(5)', 'ALS(10, 0.001)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Normalized', 'No Raman Region']",0.09330143540669857,"[23.0, 7.0, 6.0, 21.0, 3.0, 3.0, 5.0, 2.0]","[24.0, 26.0, 26.0, 42.0, 41.0, 35.0, 47.0, 30.0]","['Putamen', 'GPi', 'Caudate', 'Caudate', 'Caudate', 'GPe', 'Caudate', 'GPe']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 69   6   1  19   0   0  13   0]
 [  4  12 104   0   1  12   9   0]
 [  1  68  10   4   2  34  19   4]
 [ 28   1   5  73   0   0   1   0]
 [  0  34  15   8   1   0   3   0]
 [  0  31  65   0   0  10   0   0]
 [ 32  19  13   4   0   1  39   0]
 [  4   0   9   7   2   0   0  39]]"
"['smooth(5)', 'ALS(10, 0.001)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Normalized', 'High Wavenumbers']",0.2966507177033493,"[49.0, 13.0, 9.0, 56.0, 3.0, 18.0, 27.0, 89.0]","[28.0, 54.0, 46.0, 22.0, 38.0, 38.0, 28.0, 7.0]","['Putamen', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPe', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[ 69   6   1  19   0   0  13   0]
 [  4  12 104   0   1  12   9   0]
 [  1  68  10   4   2  34  19   4]
 [ 28   1   5  73   0   0   1   0]
 [  0  34  15   8   1   0   3   0]
 [  0  31  65   0   0  10   0   0]
 [ 32  19  13   4   0   1  39   0]
 [  4   0   9   7   2   0   0  39]]"
"['smooth(5)', 'ALS(10, 0.001)', 'UMAAP(4, 15, 0.5)', 'KNN(8)', 'Not Normalized', 'FingerPrint']",0.25717703349282295,"[47.0, 11.0, 8.0, 69.0, 11.0, 6.0, 8.0, 67.0]","[29.0, 54.0, 51.0, 16.0, 39.0, 38.0, 47.0, 13.0]","['Thalamus', 'GPi', 'GPe', 'Caudate', 'GPe', 'GPi', 'Caudate', 'Putamen']","['Caudate', 'GPe', 'GPi', 'Putamen', 'SN', 'STN', 'Thalamus', 'WM']","[[51  0  5 12  0  9 31  0]
 [ 0 15 76  4 18 21  8  0]
 [10 73 11  6  7 28  7  0]
 [17  5  9 75  0  0  2  0]
 [ 1 24  9  0  7 20  0  0]
 [ 2 20 40  0 26  6 12  0]
 [51 17 17  6  0  6  9  2]
 [ 1  1  7  8  0  0  3 41]]"
