Params,Total Accuracy,Accuracy per label,Max val list,Max str list,Label str,Total_Accuracy,Accuracy_per_label,Max_val_list,Max_str_list,Label_str,Matrice
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(5)', 'Normalized', 'FingerPrint']",,,,,,0.1795142555438226,"[22.0, 14.0, 21.0, 13.0, 80.0, 9.0, 9.0, 7.0]","[37.0, 43.0, 37.0, 29.0, 15.0, 39.0, 25.0, 27.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'STN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 57  96  62  22   2   0   2  22]
 [123  40  64  34   5   0   7  15]
 [165  98  94  44   1   1   5  36]
 [ 99  62  59  43   0  30  17  29]
 [  4  13   0   0  69   0   0   0]
 [  9   8   9  38   0   9  17   7]
 [ 17  20   9  31   0  20  11  15]
 [ 69  46  47  43   0  18  14  17]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(5)', 'Normalized', 'No Raman Region']",,,,,,0.12302006335797254,"[22.0, 19.0, 22.0, 4.0, 0.0, 1.0, 0.0, 4.0]","[27.0, 34.0, 36.0, 39.0, 30.0, 49.0, 35.0, 42.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 57  70  59  42   1   7   9  18]
 [ 99  55  72  24   2   5   6  25]
 [158 133  96  29   3   1   2  22]
 [133  82  68  13   7   7   8  21]
 [ 26  23  21   9   0   0   3   4]
 [ 48  16  20  10   0   1   0   2]
 [ 43  31  33   9   1   0   0   6]
 [107  79  43   9   1   1   3  11]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(5)', 'Normalized', 'High Wavenumbers']",,,,,,0.1900739176346357,"[35.0, 12.0, 40.0, 13.0, 1.0, 0.0, 1.0, 4.0]","[29.0, 45.0, 33.0, 31.0, 29.0, 38.0, 31.0, 36.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 93  77  43  27   3   7   2  11]
 [131  35  49  37   4   5   6  21]
 [148  58 176  34   0   3   6  19]
 [105  76  60  45  17   3  11  22]
 [ 25  21   5  22   1   2   2   8]
 [ 37  23  12  17   2   0   2   4]
 [ 38  36  22  16   1   3   1   6]
 [ 91  71  36  32   7   3   5   9]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(10)', 'Normalized', 'FingerPrint']",,,,,,0.17634635691657866,"[14.0, 11.0, 27.0, 12.0, 86.0, 8.0, 9.0, 6.0]","[35.0, 36.0, 31.0, 22.0, 12.0, 47.0, 24.0, 26.0]","['GPi', 'GPe', 'GPe', 'GPe', 'GPi', 'STN', 'STN', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 36  92  82  27   1   2   5  18]
 [103  32  87  34   9   2   6  15]
 [136 104 119  51   2   4   7  21]
 [ 76  58  76  40   0  34  27  28]
 [  2  10   0   0  74   0   0   0]
 [  3   6   4  46   0   8  21   9]
 [ 12  17  13  29   0  25  11  16]
 [ 46  45  66  48   0  16  19  14]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(10)', 'Normalized', 'No Raman Region']",,,,,,0.11932418162618796,"[16.0, 14.0, 25.0, 5.0, 1.0, 1.0, 2.0, 6.0]","[24.0, 32.0, 25.0, 32.0, 34.0, 36.0, 29.0, 29.0]","['GPi', 'SN', 'GPe', 'GPe', 'SN', 'GPe', 'GPe', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 41  63  53  63   2  12  10  19]
 [ 76  41  91  26   3   4   9  38]
 [112  94 109  61   8   2  13  45]
 [110  59 108  16   4   2  10  30]
 [ 18  17  29  12   1   0   0   9]
 [ 35  21  18  15   1   1   2   4]
 [ 36  23  34  12   1   1   2  14]
 [ 69  55  74  26   6   1   8  15]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(10)', 'Normalized', 'High Wavenumbers']",,,,,,0.20380147835269272,"[24.0, 9.0, 50.0, 17.0, 1.0, 1.0, 2.0, 6.0]","[30.0, 37.0, 21.0, 26.0, 31.0, 31.0, 25.0, 25.0]","['GPi', 'GPe', 'GPe', 'GPe', 'STN', 'GPe', 'GPe', 'GPi']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 62  78  58  33   2   7   2  21]
 [106  27  50  58   4   9  11  23]
 [ 95  65 220  39   0   5   2  18]
 [ 87  74  60  57  17  19   7  18]
 [ 15  15  10  27   1   7   4   7]
 [ 30  18  17  15   3   1   6   7]
 [ 31  27  29  23   1   4   3   5]
 [ 62  63  52  43   5  11   3  15]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(30)', 'Normalized', 'FingerPrint']",,,,,,0.16737064413938754,"[6.0, 9.0, 29.0, 11.0, 86.0, 11.0, 5.0, 7.0]","[40.0, 34.0, 24.0, 22.0, 13.0, 40.0, 30.0, 25.0]","['SN', 'GPe', 'GPi', 'GPi', 'GPi', 'STN', 'caudate', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 16  88 106  29   1   0   1  22]
 [ 97  25  90  37   9   0  10  20]
 [103 108 130  49   2   4   6  42]
 [ 67  75  74  38   0  25  23  37]
 [  1  11   0   0  74   0   0   0]
 [  3   5   1  39   0  11  26  12]
 [  8  21   8  33   0  37   6  10]
 [ 48  47  64  55   0   6  17  17]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(30)', 'Normalized', 'No Raman Region']",,,,,,0.12565997888067582,"[10.0, 8.0, 34.0, 7.0, 0.0, 0.0, 2.0, 5.0]","[27.0, 42.0, 21.0, 35.0, 50.0, 35.0, 34.0, 40.0]","['SN', 'SN', 'GPi', 'SN', 'SN', 'GPe', 'SN', 'SN']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 27  66  71  64   0   0   1  34]
 [ 70  22 120  25   2   2   7  40]
 [ 73  94 150  72   4   0   5  46]
 [ 95  56 119  24   3   0   5  37]
 [ 12  12  43  10   0   0   1   8]
 [ 34  10  32  10   0   0   1  10]
 [ 39  23  42   6   0   0   3  10]
 [ 61  55 101  21   2   2   0  12]]"
"['smooth(3)', 'ORPL(30)', 'PCA(1)', 'KNN(30)', 'Normalized', 'High Wavenumbers']",,,,,,0.1969376979936642,"[16.0, 7.0, 53.0, 16.0, 1.0, 3.0, 0.0, 7.0]","[30.0, 35.0, 17.0, 20.0, 45.0, 28.0, 28.0, 24.0]","['GPi', 'GPe', 'GPe', 'GPe', 'STN', 'STN', 'GPi', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 43  79  67  39   3   3   1  28]
 [102  20  56  62   6   4   4  34]
 [ 77  57 234  38   0   7   1  30]
 [ 69  69  62  55  18  17   7  42]
 [  7  13   5  39   1  11   1   9]
 [ 22  19  10  27   1   3   2  13]
 [ 26  35  27  23   1   4   0   7]
 [ 62  59  44  54   8  10   0  17]]"
"['smooth(3)', 'ORPL(30)', 'PCA(3)', 'KNN(5)', 'Normalized', 'FingerPrint']",,,,,,0.28511087645195354,"[20.0, 30.0, 48.0, 12.0, 80.0, 34.0, 15.0, 10.0]","[24.0, 29.0, 16.0, 30.0, 14.0, 28.0, 34.0, 23.0]","['GPi', 'GPe', 'thalamus', 'GPi', 'GPi', 'STN', 'SN', 'GPe']","['GPe', 'GPi', 'SN', 'STN', 'WM', 'caudate', 'putamen', 'thalamus']","[[ 52  64  40  49   0   0   4  54]
 [ 84  86  13  72   8   1   0  24]
 [ 53  20 214  41   1   2  43  70]
 [ 81 101  53  42   0  24   5  33]
 [  4  12   0   0  69   0   0   1]
 [  0   5   6  27   0  33  22   4]
 [  4   0  42  12   0  23  18  24]
 [ 59  44  54  50   1   5  15  26]]"
